transaction_id,transaction_timestamp,transaction_amount,currency,transaction_type,transaction_status,transaction_hour_of_day,customer_id,customer_name,customer_email,customer_email_domain,customer_tenure_days,customer_address_change_days,customer_latitude,customer_longitude,card_number_hash,card_type,issuing_bank_name,card_entry_method,cvv_match_result,merchant_id,merchant_name,merchant_category,merchant_latitude,merchant_longitude,merchant_risk_score,ip_address,ip_proxy_type,device_id,device_os,user_agent,is_international,distance_from_home_km,distance_from_last_txn_km,time_since_last_txn_sec,is_first_time_customer_merchant,is_fraud
a2a1e9c7-4924-4d34-8912-4a6b3f54c758,2023-01-01T00:00:00Z,1389.91,EGP,POS,approved,0,ce433ec8-1dfb-44e4-a449-b4a782be836b,Nahed Fathy,nahedfathy1994@gmail.com,gmail.com,1115,346,30.023539387315434,31.478961277250487,5bb0f6e10f7908cf5d1c74217a8d09915fa986685cf3adfe927d890511ee5a99,Visa,Arab African International Bank (AAIB),chip,match,23ee0be4-0f52-4ed8-a0c8-412abea53201,TotalEnergies Station - New Cairo,Fuel,30.023533732993197,31.47892176800309,0.204,202.37.147.38,none,b891f48c-ee73-4800-b39a-5dd590aea0a4,MacOS,"Mozilla/5.0 (Windows NT 5.2) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/59.0.813.0 Safari/534.2",False,6.5616,6.5616,1641600,True,False
6c272d81-3b21-4b8d-bdbc-4f3c0c14e113,2023-01-01T00:01:16.734197Z,1083.41,EGP,POS,approved,0,ce433ec8-1dfb-44e4-a449-b4a782be836b,Nahed Fathy,nahedfathy1994@gmail.com,gmail.com,1115,346,29.949933211670395,31.24672459729598,5bb0f6e10f7908cf5d1c74217a8d09915fa986685cf3adfe927d890511ee5a99,Visa,HSBC Bank Egypt,contactless_card,match,1d353e7e-01a0-4c5c-860e-54ac41422241,Raya Shop - Maadi,Electronics,29.950002098465035,31.24663473527983,0.353,79.41.238.68,none,b891f48c-ee73-4800-b39a-5dd590aea0a4,MacOS,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.0; Trident/4.0),False,17.4324,23.8173,76,True,False
2f6f1f53-8ffa-431b-8b7f-b9c75fce9321,2023-01-01T00:01:51.952698Z,1241.99,EGP,POS,approved,0,ce433ec8-1dfb-44e4-a449-b4a782be836b,Nahed Fathy,nahedfathy1994@gmail.com,gmail.com,1115,346,30.024159058353664,31.48621094260966,5bb0f6e10f7908cf5d1c74217a8d09915fa986685cf3adfe927d890511ee5a99,Visa,SAIB Bank,contactless_card,match,1f95e8bd-eeb3-4adf-8a86-f49513512b39,Raya Shop - New Cairo,Electronics,30.02414289854384,31.48612755702927,0.06,6.61.115.22,none,b891f48c-ee73-4800-b39a-5dd590aea0a4,MacOS,Opera/9.76.(Windows NT 4.0; sv-FI) Presto/2.9.182 Version/11.00,False,7.2621,24.4972,35,True,False
b4160d21-99ef-4437-ba7d-d9d43278c8e7,2023-01-01T00:04:19.120815Z,1269.18,EGP,POS,approved,0,ce433ec8-1dfb-44e4-a449-b4a782be836b,Nahed Fathy,nahedfathy1994@gmail.com,gmail.com,1115,346,30.023522015441834,31.47888288592992,5bb0f6e10f7908cf5d1c74217a8d09915fa986685cf3adfe927d890511ee5a99,Meeza,National Bank of Egypt (NBE),contactless_card,match,23ee0be4-0f52-4ed8-a0c8-412abea53201,TotalEnergies Station - New Cairo,Fuel,30.023533732993197,31.47892176800309,0.204,74.88.117.222,none,b891f48c-ee73-4800-b39a-5dd590aea0a4,MacOS,Mozilla/5.0 (Windows NT 5.01; iw-IL; rv:1.9.1.20) Gecko/4462-03-05 06:12:36 Firefox/4.0,False,6.5539,0.7091,147,False,False
8cd582a8-37c7-471f-b402-cefe5f886b6f,2023-01-01T00:06:01.534995Z,1195.09,EGP,POS,approved,0,ce433ec8-1dfb-44e4-a449-b4a782be836b,Nahed Fathy,nahedfathy1994@gmail.com,gmail.com,1115,346,30.017023800072913,31.45181907007945,5bb0f6e10f7908cf5d1c74217a8d09915fa986685cf3adfe927d890511ee5a99,Visa,Housing and Development Bank (HDB),chip,match,e75bb2ae-7922-486e-9ab6-7f2b031a0074,Tseppas - New Cairo,Restaurants,30.01704957957045,31.451742963915322,0.259,65.125.215.69,none,b891f48c-ee73-4800-b39a-5dd590aea0a4,MacOS,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/62.0.842.0 Safari/533.0",False,3.8824,2.704,102,True,False
b28e4c92-b329-46a1-a3cf-aa57b10d075d,2023-01-01T00:08:24.377677Z,792.4,EGP,MOB,approved,0,ce433ec8-1dfb-44e4-a449-b4a782be836b,Nahed Fathy,nahedfathy1994@gmail.com,gmail.com,1115,346,30.01208515239863,31.433711837252737,5bb0f6e10f7908cf5d1c74217a8d09915fa986685cf3adfe927d890511ee5a99,Visa,SAIB Bank,contactless_mobile,match,12733aae-57d7-4eef-afca-8a2d170959a7,LC Waikiki - New Cairo,Retail,30.012040809429035,31.433803557446776,0.345,41.203.9.174,none,b891f48c-ee73-4800-b39a-5dd590aea0a4,MacOS,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_12_8 rv:4.0; ve-ZA) AppleWebKit/531.17.1 (KHTML, like Gecko) Version/5.1 Safari/531.17.1",False,2.1484,1.8279,142,True,False
83c94af9-63a6-4706-9aa2-c88261662414,2023-01-01T00:10:40.791699Z,1376.17,EGP,POS,approved,0,ce433ec8-1dfb-44e4-a449-b4a782be836b,Nahed Fathy,nahedfathy1994@gmail.com,gmail.com,1115,346,30.001471071423538,31.45013030348395,5bb0f6e10f7908cf5d1c74217a8d09915fa986685cf3adfe927d890511ee5a99,Visa,National Bank of Egypt (NBE),swiped,match,dee070b9-d90e-4f86-8263-ca1815e60afa,Seoudi Supermarket - New Cairo,Grocery,30.00145554452419,31.45003916621824,0.083,8.247.37.54,none,b891f48c-ee73-4800-b39a-5dd590aea0a4,MacOS,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_9; rv:1.9.2.20) Gecko/3468-04-04 19:58:21 Firefox/3.8,False,3.9886,1.9729,136,True,False
9b2058ef-9547-4f21-b9d3-d4ae144ee713,2023-01-01T00:12:32.851569Z,1375.3,EGP,POS,approved,0,ce433ec8-1dfb-44e4-a449-b4a782be836b,Nahed Fathy,nahedfathy1994@gmail.com,gmail.com,1115,346,30.028861343266062,31.48376538870507,5bb0f6e10f7908cf5d1c74217a8d09915fa986685cf3adfe927d890511ee5a99,MasterCard,Commercial International Bank (CIB),chip,match,ee878771-e91a-42a0-a660-0059f37a0d4d,Town Team - New Cairo,Fashion,30.028803395617043,31.483763235193326,0.012,6.150.141.232,none,b891f48c-ee73-4800-b39a-5dd590aea0a4,MacOS,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; Trident/4.0),False,7.1268,4.4457,112,True,False
90cb06e8-c97a-4e7a-bdbd-319b89474c5e,2023-01-01T00:14:04.987910Z,1024.7,EGP,ONL,approved,0,4906e48e-21f6-4ada-9a8d-60edbcf4b59d,Gerges El-Khouly,gerges_el-khouly1984@gmail.com,gmail.com,1907,1819,31.009516325088796,31.437987687536626,526e2eb273a114d0c76da533dff8f73ec10f5a276e3f9cfdf8bfe4d56f3d6413,Meeza,Faisal Islamic Bank of Egypt,online,match,bd04ee3d-99e7-48bd-b483-66fb7b4ce9e7,Mobaco Cottons - Mansoura,Fashion,31.035906027196827,31.38315958249039,0.4,208.30.234.215,none,25605de0-cd90-4659-bc1d-410f7c931d33,iOS,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/27.0.841.0 Safari/534.2",False,5.6481,5.6481,260044,True,False
0e2ec200-3ecf-4ca7-850d-85f3f2456ffb,2023-01-01T00:15:38.760203Z,895.65,EGP,ONL,approved,0,4906e48e-21f6-4ada-9a8d-60edbcf4b59d,Gerges El-Khouly,gerges_el-khouly1984@gmail.com,gmail.com,1907,1819,31.062006358929015,31.427152874039205,526e2eb273a114d0c76da533dff8f73ec10f5a276e3f9cfdf8bfe4d56f3d6413,Meeza,Credit Agricole Egypt,manual_keyed,match,bd04ee3d-99e7-48bd-b483-66fb7b4ce9e7,Mobaco Cottons - Mansoura,Fashion,31.035906027196827,31.38315958249039,0.4,201.200.31.52,none,25605de0-cd90-4659-bc1d-410f7c931d33,iOS,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_4 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko) FxiOS/18.3e4785.0 Mobile/40C308 Safari/533.1",False,4.5203,5.9272,93,False,False
